durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_red,color_red_brown,color_brown,color_black,color_dark_brown,brix_red,brix_dark_brown,brix_brown,brix_black,Temperature_Outside,Temperature_Frut,Variety
100,0,0,0,12.8,0,51,0,36.2,0,15.4,16.5,0,25,15,1
93,7,0,0,41,0,59,0,0,16.1,0,15.4,0,25,20.1,1
89,11,0,0,8.8,0,91.2,0,16.2,0,18.8,0,25,19.8,0,1
61,29,0,11,16,0,64.1,0,19.9,15,0,17.1,0,25,26.9,1
96,4,0,0,12.9,0,82.3,0,4.8,0,17.8,0,20,26.7,0.69,1
100,0,0,0,25,0,71,0,4,0,16.7,0,20,28.5,0.5,1
93,4,0,4,21.9,0,78.1,0,0,18.1,0,20,25.1,0.2,0,1
36,36,7,21,29.5,0,692,0,1.3,0,19,0,17,11.6,0,1
96,4,0,0,20.4,0,79.6,0,15.04,0,18.3,0,25,16.1,0,1
93,4,0,4,9.4,0,86.2,0,4.4,0,15.8,0,25,17.8,0,1
57,29,7,7,51.4,0,48.6,0,15.7,0,19.72,0,25.4,19.7,0,1
75,7,4,14,63.9,0,36.1,0,16.7,0,19.78,0,25.4,21.6,0,1
4,36,25,36,24.3,0,74.3,0,1.4,0,18.2,0,20.6,16.8,0.4,1
54,32,0,14,57.2,0,42.8,0,18.3,0,18.8,0,22.6,16.8,0,1
57,18,11,14,24,0,73,0,3,15.9,0,17.9,0,17.9,14,1
21,39,14,25,8.8,0,91.2,0,14.4,0,16.8,0,21,16.9,0.4,1
54,21,0,25,18,0,80,0,2,14.8,0,15.7,0,14.5,18.7,1
50,29,4,18,63,0,37,0,15.2,0,16.4,0,22,19.2,0,1
32,29,18,21,15,0,85,0,0,15.6,0,16.8,0,23,19.6,1
93,7,0,0,6,0,81,0,13,15.8,0,20.2,0,24,19,1
68,21,0,11,73.2,0,26.8,0,16.2,0,17.2,0,23,18.5,0,1
11,54,0,36,30,0,70,0,17.9,0,17.8,0,20,7.3,0,1
61,25,4,11,15.2,0,82.4,0,2.4,0,17.6,0,16.5,13,0,1
100,0,0,0,25,0,73,0,2,15.6,0,17.2,0,23.5,12.6,1
86,7,4,4,21,0,78,0,1,13.6,0,17.5,0,24.6,14.6,1
82,14,0,4,20,0,80,0,14.5,0,18.1,0,24.2,16.1,0,1
57,21,4,18,41.7,0,58.3,0,14.8,0,17.8,0,19,19.5,0,1
21,29,25,25,26.9,0,73.1,0,17.2,0,22.5,0,20,15.8,0,1
68,25,0,7,14.7,0,82.6,0,2.7,16.6,0,19.04,0,20,17.6,1
75,14,0,11,13,0,79.4,0,7.5,17.1,0,17.7,0,20,17.8,1
14,11,39,36,15.5,0,82,0,2.5,15.6,0,18.5,0,26,16.2,1
4,18,79,0,27.3,0,72.7,0,16.3,0,18.2,0,26,19.2,0,1
29,18,39,14,21.1,0,78.9,0,17.1,0,18.2,0,19.9,20,1.1,1
4,18,54,25,33.5,0,66.5,0,14.8,0,18.3,0,23,21.9,0.6,1
18,11,57,14,14.6,0,81.6,0,3.8,12.2,0,19.1,0,26.5,17.2,1
7,18,54,21,36.5,0,63.5,0,13,0,15.3,0,27,20,0,1
4,4,75,18,47.9,0,52.1,0,15.7,0,17.7,0,27,19.7,0,1
7,14,54,25,12.8,0,87.2,0,14.7,0,16.6,0,28,22.2,0,1
7,4,82,7,33.9,0,66.1,0,17.7,0,21.5,0,27,20.8,1.8,1
14,11,39,36,9.4,0,90.6,0,0,15.5,0,19.9,0,27,21.2,1
14,11,39,36,13,0,84.3,0,2.7,13.4,0,16.3,0,29,20.4,1
11,11,25,54,10.9,0,89.1,0,13.4,0,17.6,0,27,24.6,0.6,1
43,25,21,11,21.5,0,78.5,0,15.5,0,17.4,0,27.7,24,0,1
4,29,39,29,18.8,0,81.2,0,14.6,0,19.2,0,22,18.9,0,1
25,21,36,18,15.4,0,82.4,0,2.2,15.4,0,17.3,0,25.2,17.6,1
0,11,71,18,5.2,0,94.8,0,14.6,0,17.8,0,29,19.5,0,1
11,29,25,36,15.3,0,84.7,0,14.9,0,20.1,0,29,23.2,0,1
21,32,29,18,0.8,0,99.2,0,13.8,0,15,0,29,23.2,0,1
61,32,4,4,22.3,0,77.7,0,11,0,17.7,0,29,23,0,1
4,7,50,39,27.4,0,72.6,0,15.9,0,19.1,0,29,23.6,1.2,1
14,29,21,36,15.3,0,84.7,0,12.4,0,17.3,0,31,24.8,0,4
25,11,46,18,12.3,0,85.5,0,2.2,15.7,0,18.3,0,29,24.3,1
4,18,46,32,13.6,0,86.4,0,17.2,0,18.9,0,27,23.5,0,1
11,29,36,25,17.1,0,81.5,0,1.4,15.6,0,17.8,0,24,9,1
14,29,25,32,17.2,0,82.8,0,15.7,0,18.2,0,22,17.5,0,1
32,18,18,32,14.1,0,85.9,0,16.3,0,19.5,0,23,18.7,0,1
57,14,4,25,7,0,86.8,0,6.2,0,17.8,0,23,19.2,0,1
10,26,45,19,15.1,0,83.8,0,1.1,15.1,0,17,0,23,17.2,1
4,11,57,29,14.7,0,85.3,0,16.3,0,20,0,24,19.1,1,1
4,4,75,18,25.6,0,74.4,0,17.5,0,19.3,0,24,18.7,0.2,1
4,11,39,46,5.2,0,94.8,0,0,17.8,0,25.2,15.6,0,0,1
43,32,0,25,12,0,88,0,14.2,0,17.6,0,25,17.2,0,1
57,32,0,11,10.4,0,84.8,0,4.8,16.8,0,18.2,0,29.4,21.8,1
11,21,32,36,18.5,0,79.4,0,2.1,19.8,0,22.7,0,29,17.5,1
11,14,50,25,8.6,0,90.8,0,0.6,15.8,0,18.2,0,10,7,3
43,25,14,18,11,0,86.9,0,15,0,16.5,0,18,20,0.4,1
11,7,61,21,5.2,0,9.4,0,14,0,17,0,20.5,18.5,0,3
14,18,39,29,8.8,0,88.1,0,3.1,16.5,0,22.1,0,20.6,18,1
79,11,0,11,11.2,0,87,0,1.8,14,0,17,0,29,24,1
18,14,25,43,14,0,80,0,6,16.8,0,18,0,29,23.4,1
14,14,57,14,33.3,0,66.7,0,20.2,0,20.6,0,29,24,0,1
32,18,18,32,7.3,0,91.8,0,0.9,13.2,0,19.9,0,20,18.4,1
14,14,50,21,15.6,0,77.1,0,7.3,15.4,0,18.8,0,20,16,3
43,14,14,29,12,0,86,0,2,14.6,0,16.3,0,24,25,1
57,25,4,14,9.6,0,84.9,0,5.5,15.4,0,20.3,0,30,23.6,1
32,11,29,29,5.8,0,70.7,0,23.5,16.1,0,17.7,0,30,22.1,3
4,14,39,43,8.2,0,89.6,0,2.2,18.7,0,19.3,0,30,24.6,1
7,0,71,21,14.6,0,85.4,0,15.2,0,19.9,0,27,24.7,0,3
11,18,43,29,6.7,0,87.4,0,5.9,12.9,0,22.2,0,30,22.1,3
25,18,14,43,4.2,0,89,0,6.8,17.2,0,21.5,0,30,24.8,1
32,11,46,11,11.2,0,88.2,0,0,17.3,0,10,7,0,0,3
29,14,39,18,14.6,0,84.2,0,1.2,17.3,0,20.9,0,26,24.2,3
11,11,64,14,16.4,0,83.6,0,15.9,0,17.7,0,26,23.2,0,3
11,14,46,29,21,0,70.4,0,8.6,14.1,0,16.8,0,26.5,24,4
46,14,21,18,14,0,86,0,14.8,0,17.2,0,27,24,0.9,1
36,29,25,11,30,0,70,0,17.3,0,24.6,0,24,24.6,0,4
0,4,89,7,9.6,0,90.4,0,16.2,0,19.6,0,14,16.2,0,3
10,3,66,21,6.7,0,93.3,0,14.6,0,17.6,0,22,17.8,0,3
0,4,82,14,9.7,0,80.9,0,9.4,17.2,0,19.7,0,19.1,17.2,3
21,18,39,21,1.8,0,84.5,0,13.7,16.2,0,17.5,0,22,16.2,1
29,21,32,18,6.1,0,92.8,0,1.1,16.9,0,19.8,0,23,18,3
7,7,64,21,7.4,0,91.7,0.2,0.7,16.6,0,20.6,0,24,16.4,1
0,11,75,14,3.6,0,86.4,0,10,0,17.6,0,25,18.8,0,3
7,21,39,32,8.4,0,89.7,0,1.9,16.2,0,19.4,0,24,18.2,1
18,21,21,39,4.8,0,88.6,0.4,6.2,14,0,19.3,0,25,22,3
25,14,32,29,1.9,0,96.1,0,2,0,18.7,0,24.9,20.9,1.5,3
